Year,Month,Com.Scheduled Int,Com.Scheduled Dom,Com.Non-Scheduled Int,Com.Non-Scheduled Dom,Private Int,Private Dom,Military Int,Military Dom,Tot Excl. Military/civil,Tot Incl. Military/civil,Tot International,Tot Domestic,Total,Temp_C,Precip_mm
1995,4,2075,3239,1238,3779,2194,4350,660,15881,16876,33418,5508,11369,16876,15.84333586,12.9374415
1995,5,757,1182,452,1379,801,1587,241,5794,6157,12191,2009,4148,6157,7.65178334,0
1995,6,304,475,181,554,321,638,97,2327,2473,4896,807,1666,2473,8.360774439,0
1995,7,825,1288,492,1503,873,1730,263,6315,6710,13288,2190,4520,6710,6.767159526,0
1995,8,693,1081,413,1262,732,1452,220,5301,5634,11155,1838,3795,5634,17.98415185,15.00136613
1995,9,93,146,56,170,99,196,30,715,760,1506,248,512,760,20.26930968,19.04300127
1995,10,544,848,324,990,575,1140,173,4160,4421,8754,1443,2978,4421,34.35206003,38.23533036
1995,11,801,1249,477,1458,847,1678,255,6127,6511,12892,2125,4386,6511,18.5694764,28.02073446
1995,12,2176,3397,1298,3963,2301,4562,693,16655,17699,35046,5776,11923,17699,20.49183368,63.02849981
1996,1,1208,2241,701,1967,1039,1954,284,7963,9110,17357,2948,6162,9110,22.67231441,140.9232073
1996,2,33,61,19,53,28,53,8,215,246,468,80,166,246,20.70447238,21.77653484
1996,3,1489,2762,864,2424,1280,2409,350,9813,11228,21391,3633,7595,11228,24.34075331,33.3285071
1996,4,1472,2730,854,2396,1265,2381,346,9700,11098,21144,3592,7507,11098,21.69389548,20.13719883
1996,5,1356,2516,788,2208,1166,2195,319,8941,10230,19490,3310,6919,10230,7.371051865,0
1996,6,182,338,106,297,157,295,43,1201,1374,2618,445,929,1374,8.345454694,0
1996,7,776,1439,450,1263,667,1255,182,5112,5849,11143,1893,3956,5849,10.08917201,0
1996,8,1185,2198,688,1929,1019,1917,278,7812,8937,17027,2892,6045,8937,22.52733532,39.50549452
1996,9,973,1805,565,1584,837,1574,228,6414,7338,13980,2375,4963,7338,21.31180637,16.35263873
1996,10,1432,2657,831,2332,1232,2317,336,9440,10801,20578,3495,7306,10801,33.88409431,9.267922067
1996,11,94,175,55,153,81,152,22,621,711,1354,230,481,711,23.53879222,21.09942744
1996,12,1333,2472,774,2169,1146,2156,313,8784,10050,19147,3252,6798,10050,25.7778078,67.79619653
1997,1,930,1657,635,1577,669,1127,198,4693,6593,11485,2233,4360,6593,23.40164482,179.1134115
1997,2,1120,1995,764,1899,805,1357,239,5653,7941,13833,2690,5251,7941,17.67279292,11.03907789
1997,3,114,202,77,192,81,138,24,572,804,1401,272,532,804,23.44115686,27.12115054
1997,4,216,384,147,365,155,261,46,1088,1528,2661,518,1010,1528,19.25345008,12.26220997
1997,5,1051,1873,717,1782,756,1273,224,5305,7452,12980,2524,4928,7452,10.67852267,0
1997,6,259,460,176,438,186,313,55,1304,1832,3191,621,1211,1832,8.7087981,0
1997,7,1406,2504,959,2383,1011,1703,300,7095,9967,17361,3376,6591,9967,11.67270375,0
1997,8,2122,3780,1448,3596,1525,2570,452,10707,15041,26200,5095,9946,15041,19.59258264,36.56013016
1997,9,222,396,152,377,160,269,48,1122,1576,2745,534,1042,1576,17.75630042,23.83449169
1997,10,1896,3377,1294,3213,1363,2296,404,9566,13438,23409,4552,8886,13438,32.09073991,11.15647875
1997,11,1855,3305,1266,3145,1334,2247,395,9362,13151,22908,4455,8696,13151,21.72045424,44.46112429
1997,12,1170,2084,798,1983,841,1417,249,5905,8295,14450,2810,5485,8295,21.76939353,69.64083916
1998,1,49,57,30,73,28,57,9,196,294,498,107,187,294,25.47008363,143.8781206
1998,2,1634,1914,995,2437,927,1892,292,6539,9800,16631,3556,6244,9800,21.87822985,37.15880876
1998,3,250,292,152,372,142,289,45,999,1497,2540,543,954,1497,22.28783293,25.54961874
1998,4,308,361,188,459,175,357,55,1232,1846,3133,670,1176,1846,20.29820437,16.84888162
1998,5,1530,1793,932,2283,868,1772,273,6124,9178,15575,3330,5847,9178,8.65821399,0
1998,6,1782,2089,1086,2659,1011,2064,318,7135,10693,18145,3880,6813,10693,7.700810806,0
1998,7,1594,1868,972,2379,905,1846,285,6381,9564,16230,3470,6093,9564,6.854171056,0
1998,8,3823,4480,2329,5704,2169,4427,682,15301,22932,38916,8321,14611,22932,19.55083834,21.50949723
1998,9,437,512,266,652,248,506,78,1750,2622,4450,951,1670,2622,18.47919413,5.051700277
1998,10,1613,1891,983,2407,915,1868,288,6457,9677,16422,3512,6166,9677,35.88860692,37.29038828
1998,11,787,923,480,1175,447,912,140,3151,4722,8014,1714,3009,4722,18.79819234,54.12909397
1998,12,433,508,264,647,246,502,77,1735,2600,4413,944,1657,2600,19.00079022,88.1576929
1999,1,999,710,696,1977,416,816,197,3559,5616,9372,2111,3504,5616,17.1656127,137.2883524
1999,2,1115,793,777,2207,465,911,220,3972,6267,10458,2356,3911,6267,18.69564677,29.806519
1999,3,699,497,487,1384,292,572,138,2492,3931,6561,1478,2453,3931,21.97635401,6.022828419
1999,4,1447,1029,1009,2865,603,1183,286,5156,8135,13577,3059,5077,8135,19.37038896,36.67296137
1999,5,51,37,36,102,21,42,10,183,289,482,109,180,289,8.480769328,0
1999,6,504,358,351,998,210,412,100,1796,2833,4729,1065,1768,2833,10.99613139,0
1999,7,1400,996,976,2772,584,1144,276,4989,7871,13136,2960,4912,7871,11.10165822,0
1999,8,525,374,366,1040,219,429,104,1871,2953,4928,1110,1843,2953,20.54085004,26.8972151
1999,9,1141,811,795,2258,475,932,225,4064,6412,10702,2411,4001,6412,18.22460976,37.32008021
1999,10,1447,1029,1008,2863,603,1182,286,5154,8132,13571,3057,5074,8132,31.92677795,37.66735308
1999,11,1435,1021,1000,2842,598,1173,283,5114,8070,13468,3034,5036,8070,22.65679394,30.39198402
1999,12,3986,2834,2778,7891,1661,3257,787,14201,22407,37395,8425,13982,22407,17.16250911,79.21553188
2000,1,214,143,139,313,74,156,46,565,1039,1651,428,612,1039,17.56416214,139.83842
2000,2,620,413,402,907,215,451,133,1636,3009,4778,1238,1771,3009,19.16773344,39.92280375
2000,3,935,622,606,1366,324,680,200,2465,4533,7198,1864,2668,4533,18.22918875,28.95371208
2000,4,3363,2237,2179,4917,1166,2447,721,8870,16309,25900,6708,9601,16309,24.24636673,38.56600489
2000,5,44,29,29,65,15,32,9,116,214,340,88,126,214,10.40749818,0
2000,6,1254,834,813,1833,435,912,269,3308,6082,9658,2502,3580,6082,8.50824435,0
2000,7,1390,924,900,2032,482,1011,298,3665,6739,10701,2772,3967,6739,9.449013718,0
2000,8,755,503,490,1104,262,550,162,1993,3664,5818,1507,2157,3664,20.25855181,21.97094376
2000,9,1338,890,867,1956,464,974,287,3529,6489,10305,2669,3820,6489,21.00139029,8.557971165
2000,10,460,306,298,673,160,335,99,1214,2232,3545,918,1314,2232,35.88997265,19.37823091
2000,11,1494,994,968,2184,518,1087,320,3939,7243,11503,2979,4264,7243,18.11173345,27.52222555
2000,12,1012,674,656,1480,351,736,217,2670,4909,7796,2019,2890,4909,17.24507242,102.3033341
2001,1,1372,854,868,1564,429,835,179,4222,5922,10324,2669,3253,5922,18.83673259,160.4654631
2001,2,224,139,142,255,70,136,29,689,967,1685,436,531,967,25.09769515,33.19828288
2001,3,832,518,526,949,261,506,109,2561,3592,6262,1619,1973,3592,22.52103417,18.55382818
2001,4,2167,1349,1371,2472,679,1319,283,6671,9357,16310,4217,5140,9357,19.7740096,28.95091247
2001,5,1035,644,655,1180,324,630,135,3186,4468,7789,2014,2455,4468,6.351660255,0
2001,6,795,495,503,906,249,484,104,2446,3431,5980,1546,1884,3431,9.128716812,0
2001,7,962,599,609,1097,301,586,125,2962,4154,7241,1872,2282,4154,9.040988169,0
2001,8,2234,1390,1413,2547,699,1359,291,6875,9643,16810,4346,5297,9643,23.34607963,38.63078085
2001,9,257,160,162,293,80,156,33,790,1107,1930,499,608,1107,21.19529738,38.30671717
2001,10,231,144,146,263,72,141,30,711,997,1738,449,548,997,33.81980115,33.90869315
2001,11,1507,938,953,1719,472,917,197,4639,6507,11342,2933,3574,6507,22.76964484,50.17985069
2001,12,1107,689,700,1262,346,674,144,3406,4777,8328,2153,2624,4777,22.6059363,81.9745155
2002,1,548,206,314,417,154,266,113,1463,1905,3482,1016,889,1905,21.6208114,176.0080663
2002,2,1252,470,717,953,351,608,258,3341,4350,7949,2320,2030,4350,19.53323425,17.22622873
2002,3,484,182,277,369,136,235,100,1292,1683,3075,897,786,1683,19.65728527,17.79247213
2002,4,1931,725,1106,1469,541,938,399,5153,6710,12262,3578,3132,6710,24.64485199,21.08813661
2002,5,1340,502,767,1019,376,651,277,3574,4655,8506,2482,2173,4655,10.5245666,0
2002,6,35,13,20,27,10,17,7,94,122,223,65,57,122,9.444698204,0
2002,7,375,141,215,285,105,182,77,1001,1303,2381,695,608,1303,6.125036607,0
2002,8,2928,1099,1677,2228,821,1422,605,7814,10175,18594,5426,4750,10175,21.01908041,38.97198004
2002,9,13,5,8,10,4,7,3,35,46,84,24,21,46,19.95339313,7.385635639
2002,10,402,151,230,306,113,195,83,1073,1397,2553,745,652,1397,33.04700674,39.93860488
2002,11,748,281,428,569,210,364,155,1997,2601,4752,1387,1214,2601,20.67126806,24.14769106
2002,12,1504,564,861,1145,422,731,311,4015,5228,9554,2788,2440,5228,21.18952916,60.64031468
2003,1,332,127,217,264,80,144,39,919,1165,2123,630,535,1165,23.13189705,146.2048417
2003,2,1454,555,950,1156,352,632,169,4023,5099,9292,2756,2343,5099,20.88035387,10.18376183
2003,3,1179,450,770,938,285,512,137,3262,4134,7532,2234,1900,4134,21.51702417,31.80792783
2003,4,1523,581,995,1211,368,661,177,4212,5339,9728,2886,2453,5339,23.43017525,26.83146135
2003,5,778,297,508,619,188,338,91,2152,2728,4971,1474,1254,2728,6.976885308,0
2003,6,1547,591,1011,1230,374,672,180,4279,5423,9882,2931,2492,5423,10.74807335,0
2003,7,1233,471,805,980,298,535,143,3411,4323,7877,2336,1986,4323,9.416709054,0
2003,8,277,106,181,220,67,120,32,767,972,1771,525,447,972,22.44943371,37.13462007
2003,9,1035,395,676,823,250,449,120,2862,3628,6610,1961,1667,3628,17.3532858,24.42448563
2003,10,457,174,298,363,110,198,53,1263,1601,2917,865,736,1601,31.82352349,31.28876014
2003,11,263,101,172,209,64,115,31,729,923,1683,499,424,923,19.20600945,38.54146099
2003,12,251,96,164,200,61,109,29,695,880,1604,476,405,880,20.303171,99.51545053
2004,1,295,119,166,206,73,149,34,761,1008,1804,534,474,1008,15.34987441,131.9310366
2004,2,916,369,515,641,227,463,107,2362,3129,5598,1658,1472,3129,20.99808364,9.680394167
2004,3,339,136,190,237,84,171,39,874,1158,2071,613,544,1158,19.52813704,22.50155564
2004,4,1542,620,867,1079,382,779,179,3977,5269,9425,2791,2478,5269,18.46453815,36.92256988
2004,5,1740,700,978,1217,431,879,202,4487,5945,10633,3149,2796,5945,6.496729445,0
2004,6,1173,472,659,821,291,592,136,3026,4008,7170,2123,1885,4008,10.08080773,0
2004,7,88,35,49,61,22,44,10,226,300,536,159,141,300,7.80204405,0
2004,8,1861,748,1045,1302,461,939,216,4798,6357,11371,3367,2990,6357,15.42139142,17.72918106
2004,9,1757,707,987,1229,435,887,204,4529,6001,10734,3179,2822,6001,21.62667253,19.17336789
2004,10,593,238,333,415,147,299,69,1528,2024,3621,1072,952,2024,32.76170385,10.20644748
2004,11,36,15,20,25,9,18,4,94,124,222,66,58,124,18.49007654,46.28517455
2004,12,160,64,90,112,40,81,19,413,547,979,290,257,547,21.46975427,103.5887682
2005,1,456,215,258,375,95,167,73,994,1567,2634,809,757,1567,15.97266189,154.1698269
2005,2,1416,669,801,1164,296,519,228,3086,4864,8178,2512,2352,4864,22.07858257,32.03113468
2005,3,1044,493,591,858,218,383,168,2276,3587,6032,1853,1734,3587,19.25756693,21.81693749
2005,4,1337,632,757,1099,279,491,215,2915,4594,7725,2373,2221,4594,18.50839919,36.50349845
2005,5,1256,594,711,1033,262,461,202,2739,4318,7259,2230,2088,4318,6.250071292,0
2005,6,88,42,50,72,18,32,14,192,303,509,157,147,303,7.940427933,0
2005,7,1217,575,689,1001,254,447,196,2654,4183,7033,2161,2022,4183,11.49434182,0
2005,8,2269,1072,1285,1865,474,833,365,4947,7797,13109,4027,3770,7797,18.81970156,32.55120497
2005,9,55,26,31,45,12,20,9,121,190,319,98,92,190,15.61146853,33.49515964
2005,10,55,26,31,45,11,20,9,119,188,316,97,91,188,31.20063203,7.747349322
2005,11,1060,501,600,872,222,389,171,2312,3644,6126,1882,1762,3644,21.61239007,36.36836289
2005,12,309,146,175,254,65,113,50,674,1061,1785,548,513,1061,16.41594321,114.2809373
2006,1,536,215,238,409,90,192,43,1078,1680,2801,864,815,1680,19.09749729,166.2424409
2006,2,1012,405,450,771,169,362,81,2035,3171,5287,1632,1539,3171,22.15700493,34.92123938
2006,3,889,356,395,678,149,318,71,1788,2785,4644,1433,1352,2785,24.45774104,14.68593892
2006,4,2575,1031,1145,1962,430,922,206,5177,8065,13449,4150,3915,8065,21.49143757,10.58531256
2006,5,1042,417,463,794,174,373,83,2094,3262,5439,1679,1584,3262,7.95203082,0
2006,6,213,85,95,162,36,76,17,428,667,1112,343,324,667,6.218587682,0
2006,7,146,59,65,111,24,52,12,294,457,762,235,222,457,6.34379756,0
2006,8,791,317,352,603,132,283,63,1591,2478,4132,1275,1203,2478,23.60093487,28.805192
2006,9,661,265,293,503,110,237,53,1328,2068,3449,1064,1004,2068,24.55140169,23.61957529
2006,10,550,220,244,419,92,197,44,1106,1723,2873,887,836,1723,31.3406315,20.95474727
2006,11,227,91,101,173,38,81,18,456,710,1185,366,345,710,19.39972427,25.5241583
2006,12,2456,984,1092,1871,411,879,197,4938,7693,12827,3958,3734,7693,22.51510068,109.7315129
2007,1,1291,604,463,943,217,478,66,2926,3995,6986,1971,2024,3995,20.21389188,164.7183282
2007,2,797,372,286,582,134,295,41,1805,2465,4312,1216,1249,2465,18.10189452,11.54394815
2007,3,873,408,314,638,147,323,45,1979,2703,4727,1333,1369,2703,21.08129247,11.52090311
2007,4,1239,579,445,905,208,458,63,2808,3834,6705,1892,1942,3834,17.663543,35.99075569
2007,5,908,425,326,663,153,336,46,2059,2811,4916,1387,1424,2811,9.113553859,0
2007,6,656,307,236,479,110,243,34,1486,2030,3550,1001,1028,2030,9.953556262,0
2007,7,448,209,161,327,75,166,23,1015,1386,2423,684,702,1386,10.5242112,0
2007,8,179,84,64,131,30,66,9,406,554,970,274,281,554,20.8996281,37.82597426
2007,9,787,368,283,575,132,291,40,1784,2436,4260,1202,1234,2436,20.80955879,34.59909171
2007,10,1240,580,445,906,208,459,63,2812,3840,6715,1894,1945,3840,31.0957025,24.67774891
2007,11,135,63,48,98,23,50,7,306,417,730,206,212,417,21.98523877,36.66713006
2007,12,3104,1451,1115,2267,521,1149,158,7037,9608,16803,4741,4868,9608,19.55503163,98.97081916
2008,1,407,184,124,243,78,167,37,604,1203,1843,609,594,1203,22.01254571,120.9634518
2008,2,546,247,166,327,105,224,50,810,1615,2475,817,798,1615,23.6801265,34.91258199
2008,3,902,408,274,539,173,370,82,1338,2667,4087,1349,1318,2667,20.18493564,37.1013514
2008,4,1780,806,542,1064,341,731,162,2641,5265,8067,2663,2601,5265,18.79988493,14.60522862
2008,5,869,393,264,519,167,357,79,1289,2569,3936,1299,1269,2569,11.2993465,0
2008,6,1201,544,365,718,230,493,109,1781,3551,5442,1796,1755,3551,9.140479675,0
2008,7,455,206,139,272,87,187,41,676,1347,2065,682,666,1347,9.855649688,0
2008,8,931,422,283,557,179,382,84,1381,2753,4218,1393,1360,2753,16.05609346,27.73332307
2008,9,398,181,121,238,76,163,36,591,1178,1805,596,582,1178,16.96677902,7.147389774
2008,10,764,346,233,457,147,314,69,1134,2260,3463,1143,1117,2260,34.6263195,13.87459596
2008,11,1240,562,377,741,238,509,113,1839,3666,5618,1855,1812,3666,23.56750053,46.02125408
2008,12,1673,758,509,1001,321,687,152,2482,4948,7583,2503,2445,4948,22.52445976,110.9059609
2009,1,1548,604,435,822,326,564,56,1480,4299,5834,2309,1990,4299,21.26677691,170.3674798
2009,2,1048,409,295,557,221,382,38,1002,2911,3951,1564,1348,2911,22.37857368,27.7509729
2009,3,58,23,16,31,12,21,2,55,160,217,86,74,160,22.44524173,13.76400166
2009,4,1228,479,345,653,259,447,44,1174,3411,4630,1832,1579,3411,20.04368746,31.7847296
2009,5,668,260,188,355,141,243,24,638,1854,2517,996,858,1854,6.82519137,0
2009,6,239,93,67,127,51,87,9,229,664,902,357,308,664,9.973246573,0
2009,7,513,200,144,273,108,187,18,491,1426,1935,766,660,1426,10.58079024,0
2009,8,983,383,276,522,207,358,35,940,2730,3705,1467,1264,2730,18.99308191,6.022377906
2009,9,456,178,128,242,96,166,16,436,1267,1719,680,586,1267,16.68026198,10.08406199
2009,10,1262,492,355,670,266,460,45,1206,3505,4756,1882,1622,3505,31.72052943,16.86463787
2009,11,1216,474,342,646,257,443,44,1163,3377,4583,1814,1563,3377,20.91086669,34.09751137
2009,12,1599,624,449,850,337,583,57,1529,4443,6029,2386,2056,4443,22.65679943,97.39721754
2010,1,511,152,157,340,112,241,33,432,1513,1978,780,734,1513,22.59962469,149.3085449
2010,2,40,12,12,27,9,19,3,34,119,156,61,58,119,16.75086697,19.04177357
2010,3,1071,319,329,713,234,506,69,906,3171,4146,1634,1537,3171,18.29752701,34.47392226
2010,4,2317,691,711,1542,507,1094,148,1960,6862,8971,3535,3327,6862,22.30699376,5.386967266
2010,5,168,50,52,112,37,80,11,142,499,651,257,241,499,6.094480768,0
2010,6,706,210,217,470,154,333,45,597,2091,2733,1077,1014,2091,7.154112208,0
2010,7,311,93,95,207,68,147,20,263,921,1204,475,446,921,7.682574246,0
2010,8,2108,628,647,1403,462,996,135,1783,6243,8161,3216,3027,6243,16.93359942,25.88689792
2010,9,279,83,86,186,61,132,18,236,827,1081,426,401,827,23.56836703,30.29692082
2010,10,925,276,284,616,203,437,59,783,2741,3583,1412,1329,2741,35.27131717,11.98928569
2010,11,583,174,179,388,128,276,37,494,1728,2259,890,838,1728,21.67397242,20.41224299
2010,12,2678,798,822,1783,587,1265,172,2266,7934,10372,4087,3847,7934,20.57897145,112.9726514
2011,1,369,74,132,354,96,247,26,432,1273,1731,598,675,1273,22.96215597,176.1781786
2011,2,1038,207,372,997,271,695,72,1217,3580,4868,1682,1898,3580,22.29857791,10.01651306
2011,3,1183,236,424,1135,309,792,82,1386,4078,5547,1916,2163,4078,16.78403546,39.17209048
2011,4,1926,384,690,1849,503,1289,133,2257,6641,9031,3119,3521,6641,22.32202063,16.86526435
2011,5,474,94,170,455,124,317,33,555,1633,2221,767,866,1633,11.67815577,0
2011,6,43,9,16,42,11,29,3,51,150,205,71,80,150,11.56926534,0
2011,7,718,143,257,689,188,480,50,841,2475,3366,1163,1312,2475,6.062696591,0
2011,8,639,127,229,613,167,427,44,749,2203,2995,1035,1168,2203,20.59617756,18.05807837
2011,9,21,4,8,20,6,14,1,25,73,100,34,39,73,21.29161519,39.45709335
2011,10,847,169,304,813,221,567,59,993,2922,3973,1372,1549,2922,35.93607238,8.808294527
2011,11,512,102,183,491,134,343,35,600,1765,2401,829,936,1765,23.24693246,50.83888044
2011,12,2765,551,991,2654,723,1850,192,3240,9533,12964,4478,5055,9533,19.6994648,81.18500414
2012,1,767,56,272,698,206,496,58,714,2494,3266,1245,1249,2494,16.62887987,141.0327024
2012,2,102,7,36,93,27,66,8,95,331,434,165,166,331,16.0530562,11.56004413
2012,3,67,5,24,61,18,43,5,62,217,284,108,109,217,22.04123071,35.94556809
2012,4,378,27,134,344,102,245,28,352,1230,1610,614,616,1230,18.59089026,9.197276742
2012,5,332,24,118,302,89,215,25,309,1081,1416,540,542,1081,11.87332088,0
2012,6,685,50,243,624,184,443,51,638,2229,2918,1112,1116,2229,6.831083596,0
2012,7,1645,120,584,1497,442,1064,123,1532,5351,7006,2671,2680,5351,10.74020233,0
2012,8,922,67,327,839,248,596,69,859,3000,3927,1497,1503,3000,18.59850416,26.43680002
2012,9,792,58,281,721,213,512,59,737,2576,3372,1286,1290,2576,17.23040729,36.37085355
2012,10,954,69,339,869,257,617,72,889,3104,4064,1549,1555,3104,34.14263364,34.60922883
2012,11,45,3,16,41,12,29,3,42,148,194,74,74,148,16.91897886,32.32263963
2012,12,3473,252,1233,3162,934,2246,260,3235,11301,14796,5640,5661,11301,22.16163379,73.65431744
2013,1,915,242,280,555,176,444,52,871,2613,3536,1371,1242,2613,20.9717189,154.7624209
2013,2,53,14,16,32,10,26,3,50,150,203,79,71,150,19.59401462,28.05008607
2013,3,805,213,247,488,155,391,46,766,2298,3110,1206,1092,2298,19.82337259,5.262997832
2013,4,3206,848,982,1946,616,1556,183,3050,9156,12389,4805,4350,9156,21.69455178,14.34452889
2013,5,295,78,90,179,57,143,17,281,843,1141,443,401,843,8.91400979,0
2013,6,947,250,290,575,182,460,54,901,2705,3659,1419,1285,2705,9.574727607,0
2013,7,720,190,221,437,138,349,41,685,2055,2781,1079,976,2055,8.856578461,0
2013,8,1013,268,310,615,195,492,58,964,2893,3914,1518,1375,2893,20.15457628,39.92002134
2013,9,286,76,88,174,55,139,16,272,817,1106,429,388,817,18.62730925,37.858646
2013,10,539,143,165,327,104,262,31,513,1540,2083,808,732,1540,32.39822154,18.85542996
2013,11,1282,339,393,778,246,622,73,1219,3659,4952,1921,1739,3659,18.61987299,32.28183403
2013,12,2600,688,797,1578,500,1262,148,2473,7424,10046,3896,3528,7424,17.40422837,119.180276
2014,1,946,334,266,498,170,433,53,717,2647,3417,1381,1266,2647,22.75991648,174.248188
2014,2,765,271,215,403,137,350,43,580,2142,2765,1118,1024,2142,21.90312956,31.65944957
2014,3,433,153,122,228,78,198,24,328,1211,1563,632,579,1211,22.58098054,28.15691393
2014,4,2382,843,670,1255,427,1090,133,1806,6667,8607,3480,3188,6667,21.88943223,25.47847232
2014,5,1114,394,313,587,200,510,62,845,3117,4024,1627,1490,3117,10.97968514,0
2014,6,1189,421,335,627,213,544,67,902,3329,4297,1737,1591,3329,11.8445762,0
2014,7,44,15,12,23,8,20,2,33,122,158,64,58,122,8.837456915,0
2014,8,1917,678,540,1010,344,877,107,1454,5366,6927,2801,2566,5366,24.17962259,34.92126122
2014,9,545,193,153,287,98,249,31,413,1525,1969,796,729,1525,22.9580931,36.53841508
2014,10,1056,373,297,556,190,483,59,801,2956,3815,1542,1413,2956,32.42062141,8.811426278
2014,11,219,78,62,116,39,101,12,167,615,794,321,294,615,21.24753206,49.42709569
2014,12,2882,1020,811,1518,517,1319,161,2186,8067,10414,4210,3857,8067,23.26448205,107.391504
2015,1,1082,408,261,482,158,421,48,910,2812,3770,1501,1311,2812,24.19078821,146.3580426
2015,2,846,319,204,377,123,329,37,711,2199,2947,1174,1025,2199,22.99860879,5.370247845
2015,3,493,186,119,220,72,191,22,414,1280,1716,683,597,1280,17.56443221,27.19017014
2015,4,1563,589,377,696,228,607,69,1313,4060,5443,2168,1893,4060,24.41493635,9.99156168
2015,5,357,135,86,159,52,139,16,300,927,1243,495,432,927,6.442649879,24
2015,6,1313,495,316,585,192,510,58,1103,3410,4571,1820,1589,3410,6.244114199,100
2015,7,805,303,194,358,117,313,36,676,2091,2802,1116,974,2091,9.929799559,35
2015,8,3371,1271,812,1501,492,1309,149,2833,8756,11738,4675,4081,8756,24.89495479,22.54078111
2015,9,814,307,196,363,119,316,36,684,2114,2834,1129,986,2114,19.63453966,12.22791597
